date,wtp_name,concentration,pcr,target,county_name,,cc_data,,ww_omicron,,,ww_data,,Rt_cc,,Rt_ww
06/07/2020,119,41100000,sars-cov-2,n2 and n1,29019,,5,,41100000,,,41100000,,1.131017032,,1.127838893
14/09/2020,119,222000000,sars-cov-2,n2 and n1,29019,,7,,83500000,,,83500000,,1.065281816,,1.06190026
19/10/2020,119,98200000,sars-cov-2,n2 and n1,29019,,8,,102000000,,,102000000,,1.033321063,,1.029828745
26/10/2020,119,89200000,sars-cov-2,n2 and n1,29019,,5,,79100000,,,79100000,,1.017615368,,1.01405711
28/12/2020,119,297000000,sars-cov-2,n2 and n1,29019,,5,,43900000,,,43900000,,1.009822824,,1.006223068
25/01/2021,119,70000000,sars-cov-2,n2 and n1,29019,,6,,142000000,,,142000000,,1.005942977,,1.00231565
09/02/2021,119,32500000,sars-cov-2,n2 and n1,29019,,7,,219000000,,,219000000,,1.004012548,,1.000365483
18/02/2021,119,96900000,sars-cov-2,n2 and n1,29019,,5,,266000000,,,266000000,,1.003056149,,0.999393528
25/03/2021,119,88300000,sars-cov-2,n2 and n1,29019,,8,,345000000,,,345000000,,1.002586726,,0.998910565
03/05/2021,119,11900000,sars-cov-2,n2 and n1,29019,,6,,145000000,,,145000000,,1.002360737,,0.998671795
05/07/2021,119,137000000,sars-cov-2,n2 and n1,29019,,9,,222000000,,,222000000,,1.002256437,,0.998554767
19/07/2021,119,181000000,sars-cov-2,n2 and n1,29019,,11,,71900000,,,71900000,,1.002213018,,0.998498292
26/07/2021,119,161000000,sars-cov-2,n2 and n1,29019,,12,,54900000,,,54900000,,1.00220012,,0.998471826
20/09/2021,119,25400000,sars-cov-2,n2 and n1,29019,,17,,82700000,,,82700000,,1.002202579,,0.998460138
04/10/2021,119,14400000,sars-cov-2,n2 and n1,29019,,18,,83500000,,,83500000,,1.0022128,,0.998455637
18/10/2021,119,22100000,sars-cov-2,n2 and n1,29019,,7,,98200000,,,98200000,,1.002226957,,0.99845454
29/11/2021,119,49600000,sars-cov-2,n2 and n1,29019,,13,,89200000,,,89200000,,1.002243096,,0.998454959
13/12/2021,119,160000000,sars-cov-2,n2 and n1,29019,,25,,305000000,,,305000000,,1.002260196,,0.998455949
27/12/2021,119,94800000,sars-cov-2,n2 and n1,29019,,14,,168000000,,,168000000,,1.002277691,,0.998457031
03/01/2022,119,185000000,sars-cov-2,n2 and n1,29019,,12,,213000000,,,213000000,,1.00229524,,0.998457959
24/01/2022,119,233000000,sars-cov-2,n2 and n1,29019,,9,,413000000,,,413000000,,1.00231261,,0.998458602
07/02/2022,119,37700000,sars-cov-2,n2 and n1,29019,,8,,296000000,,,296000000,,1.002329624,,0.998458886
21/02/2022,119,19900000,sars-cov-2,n2 and n1,29019,,7,,193000000,,,193000000,,1.002346132,,0.998458767
18/04/2022,119,10900000,sars-cov-2,n2 and n1,29019,,8,,516000000,,,516000000,,1.002362001,,0.998458216
02/05/2022,119,21600000,sars-cov-2,n2 and n1,29019,,9,,273000000,,,273000000,,1.002377105,,0.998457211
09/05/2022,119,32200000,sars-cov-2,n2 and n1,29019,,5,,297000000,,,297000000,,1.002391315,,0.998455735
06/06/2022,119,26700000,sars-cov-2,n2 and n1,29019,,7,,502000000,,,502000000,,1.002404506,,0.998453767
18/07/2022,119,29900000,sars-cov-2,n2 and n1,29019,,6,,227000000,,,227000000,,1.002416555,,0.998451291
08/08/2022,119,36300000,sars-cov-2,n2 and n1,29019,,5,,211000000,,,211000000,,1.002427344,,0.998448291
22/08/2022,119,21200000,sars-cov-2,n2 and n1,29019,,6,,70000000,,,70000000,,1.002436758,,0.998444754
29/08/2022,119,13900000,sars-cov-2,n2 and n1,29019,,5,,65200000,,,65200000,,1.002444684,,0.998440666
05/09/2022,119,12200000,sars-cov-2,n2 and n1,29019,,10,,32500000,,,32500000,,1.00245101,,0.998436016
03/10/2022,119,935228.0058,sars-cov-2,n2 and n1,29019,,5,,96900000,,,96900000,,1.002455626,,0.998430791
10/10/2022,119,6869710.99,sars-cov-2,n2 and n1,29019,,5,,35000000,,,35000000,,1.002458427,,0.998424976
17/10/2022,119,7397553.207,sars-cov-2,n2 and n1,29019,,5,,13000000,,,13000000,,1.002459313,,0.998418557
28/11/2022,119,29800000,sars-cov-2,n2 and n1,29019,,9,,63200000,,,63200000,,1.00245819,,0.998411521
05/12/2022,119,9817086.389,sars-cov-2,n2 and n1,29019,,5,,147000000,,,147000000,,1.002454966,,0.998403859
19/12/2022,119,23600000,sars-cov-2,n2 and n1,29019,,6,,88300000,,,88300000,,1.002449554,,0.99839556
06/02/2023,119,20200000,sars-cov-2,n2 and n1,29019,,5,,33900000,,,33900000,,1.002441869,,0.998386617
13/02/2023,119,38200000,sars-cov-2,n2 and n1,29019,,6,,122000000,,,122000000,,1.002431834,,0.99837702
13/03/2023,119,16800000,sars-cov-2,n2 and n1,29019,,11,,16200000,,,16200000,,1.002419377,,0.998366757
27/03/2023,119,8444845.418,sars-cov-2,n2 and n1,29019,,5,,16800000,,,16800000,,1.002404432,,0.998355819
01/05/2023,119,4969058.133,sars-cov-2,n2 and n1,29019,,6,,859920.0804,,,859920.0804,,1.002386938,,0.998344196
07/08/2023,119,11900000,sars-cov-2,n2 and n1,29019,,7,,11900000,,,11900000,,1.002366838,,0.998331879
21/08/2023,119,111000000,sars-cov-2,n2 and n1,29019,,6,,11800000,,,11800000,,1.002344079,,0.998318862
11/09/2023,119,51300000,sars-cov-2,n2 and n1,29019,,14,,11300000,,,11300000,,1.002318619,,0.998305141
18/09/2023,119,25100000,sars-cov-2,n2 and n1,29019,,24,,15800000,,,15800000,,1.002290416,,0.998290709
25/09/2023,119,13000000,sars-cov-2,n2 and n1,29019,,23,,29300000,,,29300000,,1.002259438,,0.998275559
02/10/2023,119,8604536.18,sars-cov-2,n2 and n1,29019,,41,,22800000,,,22800000,,1.002225655,,0.998259684
09/10/2023,119,6079510.74,sars-cov-2,n2 and n1,29019,,43,,11100000,,,11100000,,1.002189046,,0.998243076
,,,,,,,27,,71100000,,,71100000,,1.002149591,,0.998225731
,,,,,,,43,,71000000,,,71000000,,1.00210728,,0.998207644
,,,,,,,75,,137000000,,,137000000,,1.002062106,,0.998188813
,,,,,,,75,,176000000,,,176000000,,1.002014067,,0.998169236
,,,,,,,74,,181000000,,,181000000,,1.001963166,,0.998148909
,,,,,,,70,,161000000,,,161000000,,1.001909412,,0.998127827
,,,,,,,77,,99500000,,,99500000,,1.001852819,,0.998105986
,,,,,,,56,,91900000,,,91900000,,1.001793406,,0.998083383
,,,,,,,81,,74000000,,,74000000,,1.001731194,,0.998060016
,,,,,,,104,,103000000,,,103000000,,1.00166621,,0.998035885
,,,,,,,95,,72700000,,,72700000,,1.001598485,,0.998010991
,,,,,,,131,,104000000,,,104000000,,1.001528055,,0.997985335
,,,,,,,144,,74800000,,,74800000,,1.00145496,,0.997958913
,,,,,,,138,,25400000,,,25400000,,1.001379242,,0.997931723
,,,,,,,80,,30500000,,,30500000,,1.001300947,,0.997903765
,,,,,,,69,,14400000,,,14400000,,1.001220123,,0.99787504
,,,,,,,152,,23300000,,,23300000,,1.001136823,,0.997845548
,,,,,,,109,,22100000,,,22100000,,1.001051103,,0.997815295
,,,,,,,118,,23700000,,,23700000,,1.000963022,,0.99778428
,,,,,,,121,,32700000,,,32700000,,1.000872641,,0.997752505
,,,,,,,106,,20400000,,,20400000,,1.000780021,,0.99771997
,,,,,,,68,,64300000,,,64300000,,1.000685225,,0.997686675
,,,,,,,59,,52600000,,,52600000,,1.000588321,,0.997652624
,,,,,,,145,,49600000,,,49600000,,1.000489379,,0.99761782
,,,,,,,103,,,,,116000000,,1.000388471,,0.997582268
,,,,,,,96,,,,,160000000,,1.000285666,,0.997545971
,,,,,,,92,,,,,90900000,,1.000181036,,0.997508932
,,,,,,,77,,,,,94800000,,1.000074654,,0.997471153
,,,,,,,41,,,,,185000000,,0.999966594,,0.997432636
,,,,,,,44,,,,,281000000,,0.999856934,,0.997393387
,,,,,,,90,,,,,352000000,,0.999745751,,0.99735341
,,,,,,,86,,,,,462000000,,0.99963312,,0.997312714
,,,,,,,50,,,,,233000000,,0.999519116,,0.997271302
,,,,,,,32,,,,,108000000,,0.999403814,,0.997229179
,,,,,,,68,,,,,37700000,,0.999287293,,0.99718635
,,,,,,,56,,,,,12600000,,0.999169632,,0.997142819
,,,,,,,59,,,,,19900000,,0.999050907,,0.997098594
