,date,cc_data,,dates,0
ca_258,01/11/2020,22,,01/11/2020,29.26410521
ca_258,02/11/2020,36,,02/11/2020,32.69833386
ca_258,03/11/2020,34,,03/11/2020,36.12032372
ca_258,04/11/2020,36,,04/11/2020,39.53272009
ca_258,05/11/2020,50,,05/11/2020,42.93777403
ca_258,06/11/2020,48,,06/11/2020,46.33732977
ca_258,07/11/2020,41,,07/11/2020,49.73120577
ca_258,08/11/2020,39,,08/11/2020,53.0339752
ca_258,09/11/2020,80,,09/11/2020,56.14515709
ca_258,10/11/2020,58,,10/11/2020,59.11585612
ca_258,11/11/2020,61,,11/11/2020,62.06143651
ca_258,12/11/2020,67,,12/11/2020,65.08817215
ca_258,13/11/2020,73,,13/11/2020,68.26137079
ca_258,14/11/2020,50,,14/11/2020,71.60317816
ca_258,15/11/2020,71,,15/11/2020,75.10673459
ca_258,16/11/2020,116,,16/11/2020,78.75151665
ca_258,17/11/2020,98,,17/11/2020,82.51374966
ca_258,18/11/2020,90,,18/11/2020,86.37248194
ca_258,19/11/2020,103,,19/11/2020,90.34485332
ca_258,20/11/2020,103,,20/11/2020,94.53999191
ca_258,21/11/2020,76,,21/11/2020,99.0057982
ca_258,22/11/2020,68,,22/11/2020,103.7224574
ca_258,23/11/2020,153,,23/11/2020,108.6370635
ca_258,24/11/2020,117,,24/11/2020,113.6904457
ca_258,25/11/2020,93,,25/11/2020,118.8300541
ca_258,26/11/2020,51,,26/11/2020,124.0160854
ca_258,27/11/2020,94,,27/11/2020,129.2198075
ca_258,28/11/2020,113,,28/11/2020,134.4150565
ca_258,29/11/2020,87,,29/11/2020,139.5683427
ca_258,30/11/2020,214,,30/11/2020,144.7371855
ca_258,01/12/2020,195,,01/12/2020,150.1800793
ca_258,02/12/2020,191,,02/12/2020,155.7962992
ca_258,03/12/2020,210,,03/12/2020,161.2291294
ca_258,04/12/2020,170,,04/12/2020,166.14674
ca_258,05/12/2020,121,,05/12/2020,170.4026085
ca_258,06/12/2020,135,,06/12/2020,173.8997468
ca_258,07/12/2020,225,,07/12/2020,176.6650924
