,0
0,177458933.6
1,177341558.5
2,177224237.3
3,177106978.2
4,176989785.4
5,176872660.2
6,176755600.6
7,176638614.3
8,176521727.8
9,176404964.6
10,176288343
11,176171876.7
12,176055574.9
13,175939442.3
14,175823488.4
15,175707741.4
16,175592228
17,175476968.8
18,175361978.9
19,175247268.3
20,175132842
21,175018706.3
22,174904885.6
23,174791403.5
24,174678277.5
25,174565519.2
26,174453134.6
27,174341124.5
28,174229490.6
29,174118250.8
30,174007422
31,173897015
32,173787034.3
33,173677479.3
34,173568344.1
35,173459622.8
36,173351325
37,173243458.6
38,173136025.6
39,173029022.4
40,172922440
41,172816264.5
42,172710482
43,172605092.3
44,172500093.7
45,172395479.1
46,172291235.8
47,172187346.5
48,172083789.3
49,171980542.2
50,171877595.1
51,171774937
52,171672551.6
53,171570417.8
54,171468510.4
55,171366800.1
56,171265257.5
57,171163863.4
58,171062597.7
59,170961435.9
60,170860349.4
61,170759306
62,170658270.1
63,170557206
64,170456086.3
65,170354883
66,170253564.2
67,170152095
68,170050437.5
69,169948551.2
70,169846394.6
71,169743932.2
72,169641129.2
73,169537948
74,169434348.9
75,169330289.9
76,169225727.2
77,169120615.8
78,169014914.2
79,168908582.2
80,168801578
81,168693858.2
82,168585378.4
83,168476092.9
84,168365955.4
85,168254920.8
86,168142944.7
87,168029982.3
88,167915988.1
89,167800916.4
90,167684721.3
91,167567356.9
92,167448776.6
93,167328933.5
94,167207780.8
95,167085272.3
96,166961362.2
97,166836005.7
98,166709158.4
99,166580775.1
100,166450807.5
101,166319208.1
102,166185931.1
103,166050931.8
104,165914167.4
105,165775596.4
106,165635176.9
107,165492861.1
108,165348601.9
109,165202354.6
110,165054077.1
111,164903729.3
112,164751273.8
113,164596672.7
114,164439879.7
115,164280849.4
116,164119539.6
117,163955911.2
118,163789928.6
119,163621559.1
120,163450769.5
121,163277516.3
122,163101756.9
123,162923452.7
124,162742569.2
125,162559075.9
126,162372945.8
127,162184151.9
128,161992654.4
129,161798414.9
130,161601399.7
131,161401579.9
132,161198931.1
133,160993433.1
134,160785065.7
135,160573794.4
136,160359586
137,160142413
138,159922252.9
